source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
3834718261258689792,149.40441949957065,0.0909683993580383,1.7678264324598285,0.08488419674474687,0.7330676665102526,0.10597314482658367,15.917446,1.1212015,,,NOT_AVAILABLE,4927.6665,0.6367
3834739392497779072,149.49199791100122,0.09282130211249888,1.9318555646218132,0.09689900765810935,0.8641657318004287,0.10909467416006573,16.64207,1.3492069,,,NOT_AVAILABLE,4931.6177,
3834719081597585664,149.6393858042805,0.10614258440560202,1.7174892373868655,0.08425215701442447,0.1437487276141155,0.1324994166403038,16.771328,0.8941536,,,NOT_AVAILABLE,5593.12,0.6817
3834528041452411136,149.89517779214498,0.7012442879998461,1.6584966090821027,1.2312077982226912,,,18.50584,2.5858784,,,NOT_AVAILABLE,,
3834528556848486528,149.81518196372784,0.46642697366236857,1.6583087916625445,0.4747747496014105,-1.4128108703296556,0.7688159551168767,19.641964,1.4476318,,,NOT_AVAILABLE,,
3834716882577628928,149.4685801028705,1.8787838011678237,1.7186416220348975,2.361965881062666,,,20.389565,2.3131237,,,NOT_AVAILABLE,,
3834531133828865664,149.65897928963028,0.45455965265439335,1.6676003890316295,0.4396460970333592,0.4040299475847054,0.5098768751690855,19.392601,1.7592144,,,NOT_AVAILABLE,,
3834718016445713280,149.44256644074306,1.63702395610982,1.7633625585845114,2.85223723309066,,,20.218899,2.0983772,,,NOT_AVAILABLE,,
3834711904707091200,149.53730738286774,0.11244548251353831,1.6092056081454784,0.10957596216491047,0.2885955963901068,0.1165412488037758,16.843416,1.21035,,,NOT_AVAILABLE,4916.2734,
3834530824591220480,149.6408559302979,30.354879227201078,1.6707420409781013,62.217252668403255,,,20.355803,2.1065903,,,NOT_AVAILABLE,,
3834712282664213120,149.54174614250894,0.05825107206638847,1.6129309248771377,0.0551240057003712,0.7552444966750297,0.0629658926552183,15.285706,0.88687134,,,NOT_AVAILABLE,5506.0,0.1803
3834528183186066688,149.8021815940257,0.0356967635509406,1.628802292640444,0.03851483534753534,0.9253554435974958,0.05127710596885467,14.827686,0.8111248,,,NOT_AVAILABLE,5823.0,0.143
3834737674510864000,149.41170583246227,0.07237722820119362,1.899669156184598,0.07266534513331037,0.19008798398553522,0.0786272434085091,15.996095,0.76678944,,,NOT_AVAILABLE,5780.44,
3834530824591219968,149.63193624890962,0.3522211502834069,1.665285332282925,0.35534963398509867,0.18182788752089968,0.3775666600302881,18.888939,1.8926411,,,NOT_AVAILABLE,,
3834720868303992704,149.64477251389656,0.4368542548122022,1.75064999050213,0.36571314930312226,-0.29255179105575707,0.5024843580537132,19.313004,0.58312607,,,NOT_AVAILABLE,,
3834710599036735104,149.45208213780435,22.71330335081206,1.5936115343411068,28.618749261720236,,,20.629736,,,,NOT_AVAILABLE,,
3834712488822641792,149.5479008562794,0.11034829177275005,1.6423617076878638,0.10607677172754346,0.6236000456744353,0.10755503861007375,16.62969,1.176919,,,NOT_AVAILABLE,4939.0,0.573
3834531133828866560,149.65776736796496,0.12096903909300004,1.6753480387387083,0.1099062337983746,0.8169171128898727,0.1491169860250627,17.065138,1.4925194,,,NOT_AVAILABLE,4488.25,0.6783
3834513786455781376,149.85010019323136,0.030816954064561128,1.5617747057735851,0.039995358332498,,,13.333928,1.0788641,,,NOT_AVAILABLE,4995.1235,
3834737777590078592,149.42710218405801,0.06367503831385748,1.9031276108195214,0.06397662921726567,0.23031417725885533,0.06878210597843777,15.711552,0.7815304,,,NOT_AVAILABLE,6200.0,
3834711213217615616,149.4182165246455,4.1682732987836655,1.5827827374037333,7.556652926059729,,,20.673632,1.4221153,,,NOT_AVAILABLE,,
3834720765224781312,149.69833284237941,0.16748300579442574,1.7600015127660331,0.13924369509909693,0.5975492150742828,0.26136171815419323,17.751926,1.5045853,,,NOT_AVAILABLE,,
3834528900445873664,149.8777597669476,0.1237327920093954,1.6811157456109689,0.1178653110310167,0.10579687675219587,0.17758989870636588,17.63803,0.73981094,,,NOT_AVAILABLE,,
3834530996389912576,149.6938099415941,0.052037149063907724,1.671557325957449,0.05108988412527495,0.36554050635785046,0.0632951130397043,15.955013,0.7850437,,,NOT_AVAILABLE,5962.0,
3834730042354151040,149.41098124109482,0.20419433692051336,1.7915364173641404,0.20042668049697063,1.3214354189911883,0.23523703606368393,17.638596,1.2361984,,,NOT_AVAILABLE,,
3834716886868856064,149.45906522217396,1.8997816661002658,1.7160838152750908,2.6679176906955817,,,20.461668,1.3858547,,,NOT_AVAILABLE,,
3834736506279758592,149.46883978769358,0.1357645522984669,1.849907285452025,0.14916052563354762,1.1004351380594604,0.13968412781815998,17.259373,1.6096878,,,NOT_AVAILABLE,,
3834736781157665664,149.45511514809948,0.05706094541303773,1.8668340590253352,0.05584206229948619,1.102349080207639,0.06282465271332334,15.467695,1.0756063,,,NOT_AVAILABLE,5028.185,0.1553
3834529793799063680,149.72905102470372,1.6688509467241253,1.628844959157003,2.546202757865798,,,20.296207,1.9568729,,,NOT_AVAILABLE,,
3834718295618070144,149.40705559779173,12.79017111403756,1.7819710213093607,21.671890350551703,,,20.800303,,,,NOT_AVAILABLE,,
3834730042354149760,149.41120699785307,0.7874424111371462,1.7885629461209687,1.4186257318990396,,,18.4308,0.6646881,,,NOT_AVAILABLE,,
3834528625567965312,149.80567960422775,0.4197379600236294,1.6740060280193418,0.41012888559406574,0.3666575132000708,0.6270080643704952,19.548462,1.584034,,,NOT_AVAILABLE,,
3834531614865204608,149.7727550586253,0.10388714680258403,1.6805724844669772,0.10956515895714769,0.8449530339338982,0.15059862906725976,17.374136,1.8077278,,,NOT_AVAILABLE,,
3834528148826327936,149.82344310750705,0.033339458249391676,1.6273788579080921,0.03072654534330867,3.1424876838709954,0.05373333395230291,13.770836,1.2065678,,,NOT_AVAILABLE,5061.25,0.1095
3834737811949815808,149.44287411984018,0.5328017348326283,1.9119887423136999,0.7959135532624149,1.0052005791510716,0.34448361820978535,18.815893,2.4041538,,,NOT_AVAILABLE,,
3834713553974530560,149.5365999658299,0.13792805436479202,1.6728738207187508,0.12880905699167403,0.03714544792985838,0.14019822890010405,17.09719,0.8462696,,,NOT_AVAILABLE,,
