Ra (deg),Dec (deg),Modulus (deg),angle (rad),x_err (deg),y_err (deg)
149.80604414044763,1.7546711207989345,5.11183539820004e-06,0.7938372278423216,3.583981168731043e-06,3.6449883566991303e-06
149.6281796655422,1.6988229456130604,2.3447608937307937e-06,-1.8289583448847924,-5.986266273794172e-07,-2.2670575223759926e-06
149.50243807464926,2.011695647882473,7.131723614656413e-06,0.29927050390988436,6.814731449367173e-06,2.102597676412188e-06
149.68045242047893,1.6626199609078707,3.522100619166827e-06,0.6555061876084156,2.792108205085242e-06,2.146933753666147e-06
149.68725446912703,1.719167358043064,7.114284203658897e-06,0.6029044226160418,5.859980234390605e-06,4.0340638793878725e-06
149.7640878609648,1.7267865308871095,7.799856117676216e-06,1.2467444237477192,2.4835535725742375e-06,7.393897288210383e-06
149.55121981748565,1.8151456742323226,8.824076169588912e-06,0.08359086878841995,8.793265294571029e-06,7.36753490659936e-07
149.43699973085734,1.7392085554643515,3.85937136510827e-06,-0.7185850577340789,2.9050953571641003e-06,-2.5407023240830995e-06
149.5793216698591,1.648686462968076,4.521724865578343e-06,-0.2788182450988734,4.347101963730893e-06,-1.2444678689771393e-06
149.58029289809656,1.6924786069879187,6.088954124801309e-06,0.2557133733820627,5.8909602387302584e-06,1.5401135671222477e-06
149.91331002694454,1.5547063685565887,4.917211349111014e-06,0.8188306148210243,3.3588277403850952e-06,3.591273264769157e-06
149.7696594023962,1.777828282920527,7.258503550789584e-06,0.18529053001291426,7.134258055430109e-06,1.3372493392616036e-06
149.6191025532521,1.8166200081363124,4.075405782724668e-06,0.5198700615045518,3.5369783972782898e-06,2.0245286145303965e-06
149.59784085395015,1.8680767365384106,8.34166459156725e-06,0.5075683726452135,7.290022523420703e-06,4.054496240746275e-06
149.76155760241966,1.6371925689068627,5.704402201920961e-06,1.0848717303827216,2.664104869154471e-06,5.04408066226425e-06
149.94292408146856,1.5668775734844127,1.0004835283178383e-05,-0.4655086276767817,8.940254474509857e-06,-4.490944107260475e-06
149.75286627050255,1.6533772790808294,8.023832245541399e-06,0.8580179529061431,5.247090939519694e-06,6.070413542502706e-06
149.62949035269423,1.5617399145256947,4.74721169488339e-06,-0.8943635854677786,2.9718268024225836e-06,-3.7019271106331075e-06
149.41802476558476,1.8076940354198412,2.5888676789200385e-06,0.02188409924050665,2.5882477814320737e-06,5.665051516778874e-08
149.42474802216512,1.893915600152554,5.837974934874888e-06,0.5574262793327839,4.954218951525036e-06,3.088311176124847e-06
149.49566551520613,1.8146428982544591,6.2720457298614685e-06,0.3176616692194744,5.95824513993648e-06,1.959048873789726e-06
149.43145705743842,1.7462265465885434,1.8055924398424737e-06,1.3436336256800552,4.0664474454388255e-07,1.7592055339132884e-06
149.51978369531247,1.6000128951481045,4.739292162662498e-06,-0.6064115614687648,3.8942689570831135e-06,-2.701029339524652e-06
149.5120046227892,1.8620407860158985,7.27801727864024e-06,0.7149203102068811,5.495961886481382e-06,4.771156929983533e-06
149.50679414637253,1.9931270774352057,9.42418252636773e-06,0.06123670188065478,9.406518017840426e-06,5.767452386784555e-07
149.67029945294803,1.7985468975476884,8.147743843808328e-06,0.37590728446508054,7.578827023735357e-06,2.991172126209918e-06
149.8494542596334,1.5702949539964182,4.016532517427099e-06,0.7734417916554482,2.8738710682318924e-06,2.805957687979088e-06
149.81804403371925,1.6807358002029869,4.514869094401617e-06,0.6153853539460591,3.6866211132746685e-06,2.606313048492126e-06
149.65561485940268,1.589128435829292,3.188313779915119e-06,-0.6404231549383677,2.5565270220795355e-06,-1.9051284325666273e-06
149.5039628420786,1.8234796281693644,5.915225437360335e-06,0.4981421843192383,5.19635833029497e-06,2.826261148225484e-06
149.62194953643942,1.8895451198510713,1.2331787713810818e-05,1.3607193417534624,2.5716117306728847e-06,1.2060671678026935e-05
149.83637519125497,1.5651523690953606,4.669358306142886e-06,0.8898168022913184,2.9396149443527975e-06,3.627887948942643e-06
149.7280537522303,1.8082676265828626,4.723720313735854e-06,0.5284145426526173,4.079440230952969e-06,2.3815333305421404e-06
149.43359771813195,1.9446969864309265,7.222509768997427e-06,-0.09770845234101413,7.188060749285796e-06,-7.045779075731673e-07
149.4896173953338,1.7708783766771838,5.186010010117129e-06,0.06689357746460262,5.174411285224778e-06,3.466520970274445e-07
149.53475674835246,1.6826833401305292,5.9998264252398714e-06,-0.19183150135802246,5.8897697670090565e-06,-1.1439096225807077e-06
149.58022350016384,1.812656656562457,7.383475031315947e-06,0.44178744643055284,6.674579282162085e-06,3.1568488947364415e-06
149.48401090240216,1.9512811449286764,5.560948730241307e-06,1.2734737682493795,1.6291427300529904e-06,5.316958223033907e-06
149.42637020667357,1.8888580708279141,6.379799735497806e-06,0.05521147979470007,6.37007840964543e-06,3.520592564143499e-07
149.6152690014269,1.7948488599421077,7.804528222766324e-06,0.7341181641645237,5.7942519902098866e-06,5.228508836552237e-06
149.5762350275263,1.8581601919987394,6.9546872031117295e-06,0.5762768499043576,5.831485907492606e-06,3.7896498787937105e-06
149.4435060867363,1.7964539011808034,5.613171277013481e-06,-0.05580617339632636,5.604432914196877e-06,-3.1308704118160335e-07
149.43332410465152,1.7922607759365459,1.5574805792906882e-06,-1.6923860168727969,-1.8890730757448182e-07,-1.5459818187846253e-06
149.75600674859493,1.5705306120807747,3.8131529317724223e-06,0.39725156062922096,3.5162143490197195e-06,1.4752531758421839e-06
149.72110834055584,1.5939797591768536,2.767783339472576e-06,0.45263730293489324,2.489058800847488e-06,1.2104589626193984e-06
149.61023978306105,1.7794250650670635,5.44092244134347e-06,0.43155069944948465,4.942088963844071e-06,2.2758281319479323e-06
149.77190516733498,1.5813046365458343,4.39353450528831e-06,0.1609888232484852,4.336722867037679e-06,7.042586340766377e-07
149.71681231155347,1.805179344158241,4.8054929585954795e-06,0.7647950405282639,3.4672798676638195e-06,3.327271088204853e-06
149.62079443418025,1.7384088111008644,7.727856768219188e-06,-0.3417005897059099,7.281079831500392e-06,-2.5895263500164134e-06
149.60162690807388,1.8645489211372526,9.154262969839076e-06,0.2694517421505842,8.823949599445768e-06,2.4368922806328186e-06
149.68900066071078,1.789241439222365,5.137014482251179e-06,0.3421536942363669,4.839243587184683e-06,1.7235542622007216e-06
149.62093868743898,1.8653220903661358,7.935291177834403e-06,0.3959845053511,7.321236694224353e-06,3.060774304675107e-06
